posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-05-03 05:47:00,(Lower Pacific Heights,"Epic REA-Azai PM Nice 2BR/1BA, Free Pkg, Yard, Divisadero Corridor",2.0,1000.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-azai-pm-nice-2br/7109316957.html,3995
2020-05-03 05:47:00,(Lower Pacific Heights,"Epic REA-Azai PM Nice 2BR/1BA, Free Pkg, Yard, Divisadero Corridor",2.0,1000.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-epic-rea-azai-pm-nice-2br/7109320860.html,3995
2020-05-03 08:26:00,(Noe Valley,Present PM-Brand New Noe Valley Stunner--Views-Pets OK,2.0,975.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-present-pm-brand-new-noe/7103872094.html,4500
2020-05-02 19:30:00,(Castro,"The Prettiest Tree-Lined Street-Blocks to Dolores Park-Parking, WD!",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-prettiest-tree-lined/7112224754.html,4500
2020-05-01 09:40:00,(Hayes Valley,2 Bedroom Townhome Offering 1.5 Month Rent FREE At Avalon Hayes Valley,2.0,988.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-townhome/7116922524.html,4390
2020-05-02 18:56:00,(Lower Pac Hts,"$3995. 2Bed  1BATH,H/W,D/W ,FREE PARKING @@@@@@@@@@@@@",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-1bathh-wd-free/7103793119.html,3995
2020-05-02 18:36:00,(Lower Pac Hts,"2 Bed/1 Bath, Top Floor, H/W, D/W, One free parking spot!!!!!!!!!!!!!",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bed-1-bath-top-floor-w/7103793417.html,4195
2020-05-01 19:19:00,(Lower Pac Hts,"$3995. 2Bed  1BATH,H/W,D/W ,FREE PARKING @@@@@@@@@@@@@",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-1bathh-wd-free/7107243362.html,3995
2020-04-30 09:20:00,(Lower Pac Hts,"$3995. 2Bed  1BATH,H/W,D/W ,FREE PARKING @@@@@@@@@@@@@",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-1bathh-wd-free/7116364237.html,3995
2020-04-30 09:09:00,(Lower Pac Hts,"2 Bed/1 Bath, Top Floor, H/W, D/W, One free parking spot!!!!!!!!!!!!!",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bed-1-bath-top-floor-w/7116364759.html,4195
2020-05-02 08:29:00,(Lower Pac Hts,"$3995. 2Bed  1BATH,H/W,D/W ,FREE PARKING @@@@@@@@@@@@@",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-1bathh-wd-free/7117416554.html,3995
2020-05-02 08:23:00,(Lower Pac Hts,"2 Bed/1 Bath, Top Floor, H/W, D/W, One free parking spot!!!!!!!!!!!!!",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bed-1-bath-top-floor-w/7117416735.html,4195
2020-05-01 14:53:00,(Castro,2 BR and 1 Ba Apartment,2.0,600.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-br-and-1-ba-apartment/7114120055.html,3700
2020-04-30 12:48:00,(Mission District,NEWLY REMODELED Luxury 2/2 near hospital and freeways,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-luxury-2/7116511596.html,4000
2020-04-30 16:37:00,(Noe Valley,Top Floor 2BD in The Heart of Noe Valley.,2.0,900.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-2bd-in-the/7116619479.html,3449
2020-05-01 09:10:00,(Castro,$1800 Room for Rent – June 1st - August 30th Master Bedroom in AMAZING,2.0,,https://sfbay.craigslist.org/sfc/sub/d/san-francisco-1800-room-for-rent-june/7116901395.html,1800
2020-04-29 11:47:00,(Inner Richmond,"Center of the city! Top floor two bedroom with lots of closets, e",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-center-of-the-city-top/7115934313.html,3695
2020-04-29 13:44:00,(Mission District,Spectacular 2 Br in the Mission - Laundry and Parking! Rentals in SF,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-2-br-in-the/7116011450.html,4195
2020-05-01 13:28:00,(Mission Dolores,Spectacular 2 Br unit in the Mission with Laundry and Parking!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-2-br-unit-in/7113682713.html,4195
2020-05-02 08:54:00,(Castro,Bright 2 Bedroom Apartment located in Castro/Upper Market,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-2-bedroom/7110864479.html,2995
2020-04-26 11:14:00,(Lower Pac Hts,"Fantastic View Condo with balcony, One car Parking",2.0,854.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-view-condo-with/7114301879.html,4195
2020-04-27 11:25:00,(Lower Pac Hts,"Fantastic View Condo with balcony, One car Parking",2.0,854.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-view-condo-with/7114832917.html,4195
2020-04-30 10:28:00,(Lower Pac Hts,Immaculate View Condo with parking,2.0,872.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-view-condo/7116413126.html,4195
2020-05-01 09:08:00,(Lower Pac Hts,City View Condo with private balcony and Parking,2.0,854.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-city-view-condo-with/7116900239.html,4195
2020-05-02 09:35:00,(Lower Pac Hts,"Fantastic View Condo with balcony, One car Parking",2.0,854.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-view-condo-with/7117463322.html,4195
2020-05-03 08:39:00,(Lower Pac Hts,"Fantastic View Condo with balcony, One car Parking",2.0,854.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-view-condo-with/7117931032.html,4195
2020-04-30 10:57:00,(Lower Pac Hts,"Recently Remodeled, Lovely 2br/1bath on 6th FL",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-recently-remodeled-lovely/7116432057.html,2850
2020-04-29 15:11:00,(Lower Pac Hts,Spacious bright 2 BR (4 flexible rooms) Flat,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-bright-2-br-4/7116060815.html,3850
2020-05-02 09:27:00,(Lower Pac Hts,Fantastic 2 Bedroom Condo- Lower Pac/Hts,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-2-bedroom-condo/7117457687.html,3950
2020-04-26 13:11:00,(Lower Pac Hts,2 Bedroom 1 bath flat,2.0,980.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bath-flat/7114378398.html,3850
2020-04-30 13:52:00,(Hayes Valley,$4000 Fab Remod D/W G/D SS HDWD GRANITE 5 Clos HEART H.V.  Must see,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4000-fab-remod-w-d-ss/7116550584.html,4000
2020-05-01 19:22:00,(Hayes Valley,$4000 Fab Remod D/W G/D SS HDWD GRANITE 5 Clos HEART H.V.  Must see,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4000-fab-remod-w-d-ss/7117244028.html,4000
2020-05-03 18:08:00,(Noe Valley,2br - 2BR 2BA apt with views of downtown SF and bay water,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-2br-2ba-apt-with/7118218578.html,0
2020-04-26 13:12:00,(Hayes Valley,BE THE 1ST TO LIVE IN A BRAND NEW HOME WITH W/D! 6 WEEKS RENT FREE!,2.0,942.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-be-the-1st-to-live-in/7114315160.html,4287
2020-04-26 16:29:00,(Downtown,Spacious 2 bedroom - Twin Peak Views - Key-less Entry! Let's Facetime!,2.0,940.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-2-bedroom-twin/7114443093.html,4353
2020-04-30 22:35:00,(Alamo Square,Remodeled 2 BR in the Blue Lotus Vic just off Alamo Square,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-2-br-in-the/7106992794.html,4050
2020-04-28 06:39:00,(Pacific Heights,Ideal Work-from-Home Townhouse,2.0,760.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ideal-work-from-home/7109776769.html,3700
2020-04-27 15:40:00,(Lower Pac Hts,SUTTER ST NR. PRESIDIO 2 BR APT. EXC. DESIRABLE LOCATION,2.0,815.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sutter-st-nr-presidio-2/7112969746.html,2900
2020-04-30 16:33:00,(Lower Pac Hts,SUTTER NEAR PRESIDIO NICE UNITS + EXCELLENT PUBLIC TRANSPORTATIO,2.0,835.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sutter-near-presidio-nice/7115015902.html,3000
2020-05-01 10:44:00,(Western Addition,Relax.... You're Home Now In This Two Bedroom - Virtual Tour Available,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-relax-youre-home-now-in/7115373756.html,3995
2020-05-03 08:51:00,(Lower Pac Hts,Beautiful City Views!!!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-city-views/7116854280.html,3950
